"","Place.FIPS","Geography.Name","County.FIPS","County.Name","Total.Population","Population.Density..Per.Sq..Mile.","Area..Land.","Under.5.Years","X5.to.9.Years","X10.to.14.Years","X15.to.17.Years","X18.to.24.Years","X25.to.34.Years","X35.to.44.Years","X45.to.54.Years","X55.to.64.Years","X65.to.74.Years","X75.to.84.Years","X85.Years.and.Over","White.Alone","Black.or.African.American.Alone","American.Indian.and.Alaska.Native.Alone","Asian.Alone","Native.Hawaiian.and.Other.Pacific.Islander.Alone","Some.Other.Race.Alone","Two.or.More.Races","Not.Hispanic.or.Latino.","Hispanic.or.Latino","Population.25.Years.and.Over.","Less.than.High.School","High.School.Graduate..Includes.Equivalency.","Some.College","Bachelor.s.Degree","Master.s.Degree","Professional.School.Degree","Doctorate.Degree","Population.25.Years.and.Over..1","Less.than.High.School.1","High.School.Diploma","Bachelor.s.Degree.or.Better","Households.","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..19.999","X.20.000.to..24.999","X.25.000.to..29.999","X.30.000.to..34.999","X.35.000.to..39.999","X.40.000.to..44.999","X.45.000.to..49.999","X.50.000.to..59.999","X.60.000.to..74.999","X.75.000.to..99.999","X.100.000.to..124.999","X.125.000.to..149.999","X.150.000.to..199.999","X.200.000.or.More","Median.Household.Income..In.2020.Inflation.Adjusted.Dollars.","Median.Household.Income.Occupied.Housing.Units.","Owner.Occupied","Renter.Occupied","Per.Capita.Income..In.2020.Inflation.Adjusted.Dollars.","Occupied.Housing.Units.","Owner.Occupied.1","Renter.Occupied.1","Owner.Occupied.Housing.Units.","White.Alone..Not.Hispanic.or.Latino.Homeowners.","Non.White.Homeowners","Owner.Occupied.Housing.Units..1","Less.than..20.000","X.20.000.to..49.999","X.50.000.to..99.999","X.100.000.to..149.999","X.150.000.to..299.999","X.300.000.to..499.999","X.500.000.to..749.999","X.750.000.to..999.999","X.1.000.000.or.More","Population.Under.18.Years.of.Age.for.Whom.Poverty.Status.Is.Determined.","Living.in.Poverty","At.or.Above.Poverty.Level","Population.Age.18.to.64.for.Whom.Poverty.Status..Is.Determined.","Living.in.Poverty.1","At.or.Above.Poverty.Level.1","Population.Age.65.and.Over.for.Whom.Poverty..Status.Is.Determined.","Living.in.Poverty.2","At.or.Above.Poverty.Level.2","Rural.Capacity..Headwaters.Index.","Social.Vulnerability..CDC.Index.","Percent.of.Land.in.500.Year.Floodplain","Percent.of.Land.in.100.Year.Floodplain","Total.Percent.of.Land.at.Some.Level.of.Flood.Risk","Application.Number","Project.Title","Project.Description","Applicant","Applicant.Type","Project.Type","Application.Date","State.Agency.Requested.for.Funding","Funding.Request....","Total.Project.Budget....","Funding.Decision.Year","Award.Date","Grant.Award....","Encumbered....","City.Town","County","Place.ID","X0.2.PCT.ANNUAL.CHANCE.FLOOD.HAZARD","X0.2.PCT.ANNUAL.CHANCE.FLOOD.HAZARD.CONTAINED.IN.CHANNEL","X0.2.PCT.ANNUAL.CHANCE.HAZARD","A","AE","VE","X.blank.","Grand.Total"
"138",3713980,"Columbus town","149","Polk",1240,330.1,3.76,48,91,114,37,57,138,83,171,158,184,111,48,1041,30,66,7,0,2,94,1029,211,893,137,199,364,145,38,0,10,893,137,563,193,542,31,47,64,11,63,36,13,18,21,94,63,31,26,11,0,13,43125,43125,56659,25321,23912,542,303,239,303,293,10,303,3,14,3,83,169,31,0,0,0,290,161,129,591,112,479,342,49,293,56,0.56,0,0.73,0.73,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,0.73,NA,NA,0.73
"139",3714060,"Como town","91","Hertford",114,36.2,3.15,3,0,2,9,5,15,21,15,25,17,2,0,97,15,0,0,0,2,0,114,0,95,7,27,55,6,0,0,0,95,7,82,6,42,3,7,3,0,1,7,4,2,0,2,2,8,3,0,0,0,35000,35000,34107,NA,21521,42,35,7,35,33,2,35,3,0,18,6,8,0,0,0,0,14,0,14,81,20,61,19,2,17,46,0.95,0,0.18,0.18,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,0.18,NA,NA,0.18
"140",3714100,"Concord city","25","Cabarrus",94147,1483.1,63.48,6622,5724,7586,4266,7332,12293,14228,13385,11335,6879,3069,1428,58883,20752,509,5348,35,5484,3136,81623,12524,62617,6853,13957,17840,14897,7156,1261,653,62617,6853,31797,23967,33059,1502,982,1370,1087,1418,1245,1173,1347,1217,3026,2770,5294,3496,1750,2395,2987,70973,70973,87204,44122,34938,33059,23009,10050,23009,15570,7439,23009,344,290,1748,3549,10710,5428,635,111,194,23811,2920,20891,58078,5399,52679,10946,959,9987,84,0.39,1.2,9.56,10.77,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,1.2,NA,NA,NA,9.56,NA,NA,10.77
"141",3714200,"Conetoe town","65","Edgecombe",599,1665.9,0.36,31,7,164,51,76,94,81,20,27,22,20,6,37,498,0,0,0,20,44,579,20,270,27,146,86,9,2,0,0,270,27,232,11,147,3,9,2,15,0,72,2,0,22,0,8,5,6,0,0,3,31589,31589,32019,31491,9548,147,61,86,61,20,41,61,7,14,22,11,7,0,0,0,0,253,218,35,298,192,106,48,7,41,52,0.65,12.27,34.64,46.92,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,12.27,NA,NA,NA,34.64,NA,NA,46.92
"142",3714280,"Connelly Springs town","23","Burke",2272,455.3,4.99,112,100,145,47,193,290,186,370,454,252,83,40,2025,126,14,87,0,0,20,2118,154,1675,339,642,502,126,54,6,6,1675,339,1144,192,894,55,61,41,57,10,34,80,124,15,65,101,61,113,8,28,41,44625,44625,66705,36597,28835,894,585,309,585,522,63,585,92,56,125,134,34,13,31,89,11,365,64,301,1493,185,1308,375,73,302,56,0.73,0,3.54,3.54,19,"Bethel Park Stream Restoration Phase 1","Bethel Park is a highly utilized recreational park located at the convergence of East Prong Hunting Creek and Fiddlers Run in the City of Morganton. The park currently experiences frequent flooding during heavy rainfall events resulting in standing water and sediment deposition around the athletic field and on the majority of the walking trail encompassing the outer park boundary. Area residents also report flooding impacting their property. The city had a detailed assessment of the watershed conducted, including hydrologic and hydraulic modeling to determine necessary improvements. The overall proposed project involves two phases. Golden LEAF flood mitigation grant funds will be used to support implementation of Phase I which includes stream restoration for East Prong Hunting Creek including excavating a lower floodplain at the elevation of the existing incised stream channel, excavating floodplain benches along the new stream alignment to provide increased flow capacity, establishing a riparian buffer along the banks of East Prong Hunting Creek, constructing bioretention swales to direct overbank stormwater flows into the streams, replacing an existing bridge once the stream is widened, redesigning an existing culvert to improve flow, relocating an existing dog park away from the stream to reduce the pollutant load to downstream receiving waters, and elevating recreational areas such as the athletic field and walking track to mitigate flood impacts on the most used open areas. Additional funding for Phase 1 was awarded by the North Carolina Land and Water Fund Grant in 2021 as well as match funding from the City. There are households located in the immediate project area that will benefit from completion of this project. ","City of Morganton","Local Government","Infrastructure","5/31/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"10/6/22",250000,250000,"Morganton","Burke",NA,NA,NA,NA,NA,3.54,NA,NA,3.54
"143",3714340,"Conover city","35","Catawba",8488,759.8,11.17,401,701,758,434,628,1046,1125,883,916,782,666,148,6261,595,133,685,0,621,193,7392,1096,5566,831,1766,1821,825,252,19,52,5566,831,3587,1148,3362,203,132,123,181,407,104,272,143,135,355,218,282,406,139,128,134,48989,48989,58389,31868,27416,3362,2357,1005,2357,1976,381,2357,24,0,461,559,864,259,182,0,8,2274,403,1871,4589,543,4046,1520,100,1420,8,0.66,0.42,5.26,5.68,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,0.42,NA,NA,NA,5.26,NA,NA,5.68
"144",3714400,"Conway town","131","Northampton",671,367.9,1.82,75,46,79,36,34,85,75,72,76,76,16,1,281,307,0,0,0,82,1,589,82,401,60,188,80,47,26,0,0,401,60,268,73,275,43,44,16,5,17,8,16,1,13,16,42,7,26,14,0,7,38203,38203,59444,NA,20270,275,162,113,162,113,49,162,1,8,80,29,37,7,0,0,0,229,108,121,342,107,235,93,5,88,54,0.69,1.21,3.4,4.61,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,1.21,NA,NA,NA,3.4,NA,NA,4.61
"145",3714460,"Cooleemee town","59","Davie",1028,1366.4,0.75,62,67,83,47,121,145,145,86,127,84,42,19,735,92,45,48,0,0,108,1007,21,648,88,207,249,76,28,0,0,648,88,456,104,387,23,29,34,17,46,25,14,4,8,16,68,64,3,16,11,9,46250,46250,65667,30104,22563,387,236,151,236,189,47,236,7,26,109,45,49,0,0,0,0,259,111,148,624,134,490,145,10,135,57,0.72,0,9.76,9.76,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,9.76,NA,NA,9.76
"146",3714600,"Cordova CDP","153","Richmond",1323,620.9,2.13,48,0,14,8,208,222,42,277,328,70,106,0,1043,194,86,0,0,0,0,1323,0,1045,125,449,216,53,202,0,0,1045,125,665,255,646,54,78,30,15,16,9,15,101,73,59,15,76,93,12,0,0,47671,47671,44505,48356,30037,646,466,180,466,454,12,466,36,30,195,89,94,0,0,0,22,70,0,70,1077,121,956,176,154,22,NA,0.64,0,3.19,3.19,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,3.19,NA,NA,3.19
"147",3714700,"Cornelius town","119","Mecklenburg",29836,2361.2,12.64,1079,2030,2105,1593,1865,2587,4530,5151,3883,3176,1611,226,25662,2200,0,534,0,423,1017,27727,2109,21164,693,2694,6274,8099,2352,727,325,21164,693,8968,11503,12363,614,330,268,186,381,337,635,315,348,748,993,1412,988,1158,1277,2373,90377,90377,115549,59529,59348,12363,8840,3523,8840,8139,701,8840,43,58,105,382,2867,2769,866,632,1118,6795,506,6289,18016,1285,16731,5013,302,4711,83,0.09,0.02,6.7,6.72,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,0.02,NA,NA,NA,6.7,NA,NA,6.72
