"","Geography.Name","Grant.Award....","Total.Percent.of.Land.at.Some.Level.of.Flood.Risk","Ratio.Risk"
"146","Montreat town",150000,2.17,69124.4239631336
"147","Connelly Springs town",250000,3.54,70621.4689265537
"148","Badin town",250000,3.49,71633.2378223496
"149","Misenheimer village",250000,3.4,73529.4117647059
"150","Briar Chapel CDP",210000,2.51,83665.3386454183
"151","Governors Club CDP",210000,2.33,90128.7553648069
"152","Glen Alpine town",250000,2.53,98814.2292490119
"153","Chadbourn town",175000,1.73,101156.069364162
"154","La Grange town",250000,2.43,102880.658436214
"155","Elrod CDP",122500,1.17,104700.854700855
"156","Bolton town",175000,1.62,108024.691358025
"157","Drexel town",250000,2.27,110132.158590308
"158","Delway CDP",250000,2.23,112107.623318386
"159","Norwood town",250000,2.21,113122.171945701
"160","Lewisville town",250000,2,125000
"161","McDonald town",250000,1.95,128205.128205128
"162","Northwest city",250000,1.89,132275.132275132
"163","Keener CDP",250000,1.88,132978.723404255
"164","Avery Creek CDP",150000,1.12,133928.571428571
"165","Benson town",137500,1,137500
"166","Millingport CDP",250000,1.45,172413.793103448
"167","Chocowinity town",225000,1.27,177165.354330709
"168","Icard CDP",250000,1.39,179856.115107914
"169","Faison town",250000,1.29,193798.449612403
"170","Elrod CDP",250000,1.17,213675.213675214
"171","Hildebran town",250000,0.99,252525.252525253
"172","New London town",250000,0.7,357142.857142857
"173","Clarkton town",132000,0.31,425806.451612903
"174","Aquadale CDP",250000,0.55,454545.454545455
"175","Mamers CDP",225250,0.37,608783.783783784
"176","Oakboro town",250000,0.12,2083333.33333333
