Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino:,Hispanic or Latino,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,Per Capita Income (In 2020 Inflation Adjusted Dollars),Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town,County,Place ID
Knightdale town,183,Wake,3736080.0,16798.0,2114.0,7.95,1232.0,1145.0,1390.0,655.0,1234.0,2417.0,3181.0,1882.0,2159.0,1008.0,335.0,160.0,6354.0,8203.0,9.0,622.0,0.0,743.0,867.0,15116.0,1682.0,11142.0,805.0,1655.0,3895.0,3081.0,1420.0,202.0,84.0,11142.0,805.0,5550.0,4787.0,6522.0,298.0,54.0,123.0,72.0,282.0,265.0,256.0,346.0,401.0,737.0,659.0,933.0,794.0,524.0,419.0,359.0,69529.0,69529.0,91045.0,49221.0,35583.0,6522.0,4542.0,1980.0,4542.0,2062.0,2480.0,4542.0,15.0,9.0,154.0,403.0,2909.0,1038.0,9.0,0.0,5.0,4422.0,162.0,4260.0,10873.0,651.0,10222.0,1408.0,17.0,1391.0,85.0,0.53,0.79,5.96,6.75,,,,,,,,,,,,,,,,,
Kure Beach town,129,New Hanover,3736220.0,2451.0,2786.2,0.88,24.0,49.0,106.0,63.0,108.0,186.0,241.0,430.0,618.0,441.0,164.0,21.0,2440.0,0.0,0.0,0.0,0.0,0.0,11.0,2385.0,66.0,2101.0,60.0,512.0,548.0,496.0,272.0,189.0,24.0,2101.0,60.0,1060.0,981.0,1005.0,12.0,11.0,8.0,38.0,25.0,31.0,20.0,115.0,21.0,75.0,98.0,127.0,48.0,71.0,140.0,165.0,88393.0,88393.0,103375.0,49531.0,54665.0,1005.0,704.0,301.0,704.0,688.0,16.0,704.0,4.0,5.0,0.0,0.0,71.0,354.0,212.0,42.0,16.0,242.0,17.0,225.0,1583.0,46.0,1537.0,626.0,9.0,617.0,75.0,0.04,24.12,24.03,48.15,,,,,,,,,,,,,,,,,
La Grange town,107,Lenoir,3736400.0,2658.0,1153.9,2.3,139.0,125.0,75.0,35.0,181.0,342.0,246.0,300.0,807.0,189.0,141.0,78.0,1289.0,1166.0,0.0,0.0,0.0,201.0,2.0,2455.0,203.0,2103.0,413.0,653.0,638.0,344.0,48.0,7.0,0.0,2103.0,413.0,1291.0,399.0,1120.0,68.0,41.0,122.0,85.0,6.0,40.0,50.0,11.0,26.0,29.0,129.0,205.0,97.0,126.0,58.0,27.0,63409.0,63409.0,103750.0,54440.0,34299.0,1120.0,569.0,551.0,569.0,404.0,165.0,569.0,0.0,37.0,208.0,156.0,138.0,30.0,0.0,0.0,0.0,374.0,169.0,205.0,1876.0,354.0,1522.0,408.0,14.0,394.0,66.0,0.9,0.23,2.2,2.43,11.0,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,250000.0,250000.0,Kinston,Lenoir,
Lake Junaluska CDP,87,Haywood,3736480.0,3252.0,611.5,5.32,67.0,86.0,239.0,100.0,271.0,274.0,331.0,587.0,479.0,453.0,322.0,43.0,3200.0,0.0,52.0,0.0,0.0,0.0,0.0,3252.0,0.0,2489.0,191.0,455.0,829.0,733.0,207.0,35.0,39.0,2489.0,191.0,1284.0,1014.0,1369.0,61.0,68.0,49.0,45.0,52.0,36.0,50.0,71.0,38.0,74.0,191.0,254.0,256.0,93.0,11.0,20.0,73441.0,73441.0,77599.0,,32994.0,1369.0,1155.0,214.0,1155.0,1137.0,18.0,1155.0,0.0,49.0,40.0,66.0,553.0,386.0,61.0,0.0,0.0,492.0,0.0,492.0,1942.0,133.0,1809.0,818.0,20.0,798.0,6.0,0.2,0.44,8.12,8.56,,,,,,,,,,,,,,,,,
Lake Lure town,161,Rutherford,3736500.0,1634.0,124.1,13.17,29.0,50.0,73.0,16.0,36.0,92.0,131.0,101.0,423.0,434.0,209.0,40.0,1552.0,13.0,1.0,10.0,12.0,0.0,46.0,1630.0,4.0,1430.0,25.0,215.0,446.0,461.0,207.0,65.0,11.0,1430.0,25.0,661.0,744.0,858.0,38.0,11.0,34.0,134.0,26.0,27.0,31.0,28.0,30.0,64.0,84.0,105.0,48.0,27.0,45.0,126.0,60882.0,60882.0,70395.0,32955.0,50668.0,858.0,734.0,124.0,734.0,696.0,38.0,734.0,1.0,0.0,5.0,39.0,171.0,248.0,102.0,44.0,124.0,158.0,14.0,144.0,783.0,99.0,684.0,683.0,25.0,658.0,76.0,0.14,0.06,11.44,11.5,,,,,,,,,,,,,,,,,
Lake Norman of Catawba CDP,35,Catawba,3736510.0,8701.0,360.5,24.14,580.0,482.0,508.0,113.0,517.0,608.0,827.0,1294.0,1882.0,1120.0,644.0,126.0,8217.0,129.0,0.0,0.0,0.0,33.0,322.0,8200.0,501.0,6501.0,415.0,1325.0,2145.0,1883.0,483.0,71.0,179.0,6501.0,415.0,3470.0,2616.0,3505.0,144.0,65.0,122.0,47.0,93.0,79.0,128.0,82.0,85.0,349.0,314.0,493.0,411.0,207.0,300.0,586.0,82424.0,82424.0,88824.0,55133.0,52031.0,3505.0,2974.0,531.0,2974.0,2829.0,145.0,2974.0,36.0,0.0,99.0,139.0,720.0,788.0,684.0,395.0,113.0,1663.0,174.0,1489.0,5128.0,257.0,4871.0,1890.0,57.0,1833.0,,0.11,0.0,27.69,27.69,,,,,,,,,,,,,,,,,
Lake Norman of Iredell CDP,97,Iredell,3736511.0,12832.0,1267.8,10.12,491.0,843.0,1088.0,866.0,872.0,521.0,1428.0,2575.0,2143.0,1288.0,587.0,130.0,11634.0,54.0,0.0,320.0,0.0,12.0,812.0,12001.0,831.0,8672.0,108.0,972.0,2288.0,3659.0,1058.0,432.0,155.0,8672.0,108.0,3260.0,5304.0,4376.0,58.0,85.0,70.0,43.0,71.0,23.0,67.0,40.0,202.0,168.0,283.0,430.0,367.0,233.0,633.0,1603.0,152182.0,152182.0,162019.0,69861.0,75107.0,4376.0,4143.0,233.0,4143.0,3859.0,284.0,4143.0,56.0,6.0,34.0,77.0,186.0,866.0,1266.0,957.0,695.0,3239.0,60.0,3179.0,7539.0,188.0,7351.0,2005.0,57.0,1948.0,63.0,0.05,0.0,48.42,48.42,,,,,,,,,,,,,,,,,
Lake Park village,179,Union,3736512.0,3851.0,5240.2,0.73,299.0,167.0,292.0,157.0,293.0,514.0,456.0,599.0,351.0,379.0,261.0,83.0,3356.0,268.0,50.0,56.0,0.0,0.0,121.0,3675.0,176.0,2643.0,183.0,404.0,1036.0,743.0,227.0,32.0,18.0,2643.0,183.0,1440.0,1020.0,1467.0,43.0,26.0,37.0,4.0,12.0,55.0,49.0,112.0,58.0,139.0,232.0,305.0,178.0,121.0,81.0,15.0,70296.0,70296.0,75139.0,62353.0,31116.0,1467.0,1315.0,152.0,1315.0,1144.0,171.0,1315.0,0.0,18.0,0.0,134.0,1033.0,126.0,0.0,4.0,0.0,908.0,82.0,826.0,2198.0,130.0,2068.0,645.0,64.0,581.0,73.0,0.4,0.02,1.61,1.63,,,,,,,,,,,,,,,,,
Lake Royale CDP,69,Franklin,3736513.0,3228.0,495.9,6.51,158.0,228.0,292.0,191.0,34.0,126.0,757.0,305.0,572.0,330.0,213.0,22.0,2546.0,637.0,0.0,42.0,0.0,0.0,3.0,3228.0,0.0,2325.0,182.0,530.0,1065.0,350.0,139.0,59.0,0.0,2325.0,182.0,1595.0,548.0,1270.0,16.0,49.0,186.0,105.0,134.0,0.0,16.0,15.0,38.0,100.0,0.0,177.0,254.0,153.0,0.0,27.0,56625.0,56625.0,75438.0,,27706.0,1270.0,974.0,296.0,974.0,912.0,62.0,974.0,109.0,58.0,46.0,110.0,414.0,221.0,16.0,0.0,0.0,869.0,185.0,684.0,1794.0,171.0,1623.0,565.0,3.0,562.0,67.0,0.49,0.5,15.1,15.6,,,,,,,,,,,,,,,,,
Lake Santeetlah town,75,Graham,3736514.0,40.0,205.9,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,11.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,6.0,15.0,9.0,6.0,4.0,0.0,40.0,0.0,21.0,19.0,22.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,3.0,0.0,0.0,0.0,66500.0,66500.0,66500.0,,33763.0,22.0,22.0,0.0,22.0,22.0,0.0,22.0,0.0,2.0,0.0,0.0,4.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,36.0,0.0,36.0,,0.24,0.0,9.49,9.49,,,,,,,,,,,,,,,,,
Lake Waccamaw town,47,Columbus,3736640.0,1606.0,577.6,2.78,66.0,70.0,136.0,103.0,62.0,94.0,110.0,225.0,150.0,236.0,287.0,67.0,1362.0,140.0,80.0,0.0,0.0,9.0,15.0,1575.0,31.0,1169.0,189.0,268.0,362.0,219.0,88.0,41.0,2.0,1169.0,189.0,630.0,350.0,653.0,66.0,21.0,23.0,41.0,56.0,30.0,37.0,21.0,11.0,65.0,66.0,60.0,65.0,24.0,18.0,49.0,53073.0,53073.0,54688.0,31635.0,30393.0,653.0,500.0,153.0,500.0,437.0,63.0,500.0,21.0,13.0,31.0,50.0,213.0,127.0,42.0,3.0,0.0,281.0,56.0,225.0,602.0,105.0,497.0,460.0,19.0,441.0,72.0,0.77,5.14,19.37,24.51,14.0,Hickman Road Flood Mitigation,The Town of Tabor City reports that the existing drainage ditch running perpendicular to Hickman Road in the southern part of town is prone to frequent flooding during heavy rain events. Streets and residential properties in the area are often left flooded for extended periods of time. Golden LEAF flood mitigation grant funds will be used to install infrastructure to enclose the ditch and improve drainage to eliminate flooding in the area. An exposed water line running along the slope of the ditch will be abandoned and water services will be reconnected to existing water lines located upstream. Households and vehicles traveling on adjacent roads in the immediate project area will benefit from this project.,Town of Tabor City,Local Government,Infrastructure,5/10/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,175000.0,175000.0,Tabor City,Columbus,
Landis town,159,Rowan,3736860.0,3119.0,920.0,3.39,280.0,425.0,216.0,43.0,120.0,512.0,264.0,310.0,326.0,446.0,150.0,27.0,2006.0,717.0,11.0,330.0,0.0,38.0,17.0,2984.0,135.0,2035.0,159.0,709.0,819.0,298.0,39.0,11.0,0.0,2035.0,159.0,1528.0,348.0,998.0,21.0,66.0,38.0,0.0,72.0,145.0,41.0,13.0,11.0,63.0,142.0,156.0,141.0,54.0,15.0,20.0,65769.0,65769.0,69464.0,,23773.0,998.0,730.0,268.0,730.0,602.0,128.0,730.0,0.0,6.0,104.0,156.0,390.0,64.0,10.0,0.0,0.0,964.0,55.0,909.0,1532.0,64.0,1468.0,623.0,115.0,508.0,8.0,0.61,0.19,6.27,6.45,,,,,,,,,,,,,,,,,
Lansing town,9,Ashe,3736960.0,278.0,753.1,0.37,5.0,17.0,29.0,25.0,15.0,35.0,54.0,39.0,21.0,22.0,12.0,4.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,3.0,187.0,56.0,71.0,54.0,4.0,0.0,0.0,2.0,187.0,56.0,125.0,6.0,106.0,0.0,15.0,9.0,12.0,5.0,6.0,4.0,26.0,10.0,3.0,2.0,6.0,7.0,0.0,0.0,1.0,40313.0,40313.0,41875.0,23750.0,18036.0,106.0,60.0,46.0,60.0,60.0,0.0,60.0,4.0,0.0,25.0,23.0,8.0,0.0,0.0,0.0,0.0,69.0,36.0,33.0,164.0,30.0,134.0,38.0,0.0,38.0,47.0,0.54,1.42,18.47,19.89,,,,,,,,,,,,,,,,,
Lasker town,131,Northampton,3737000.0,176.0,157.4,1.12,2.0,20.0,19.0,18.0,12.0,6.0,1.0,46.0,6.0,32.0,10.0,4.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,61.0,105.0,10.0,48.0,35.0,3.0,2.0,4.0,3.0,105.0,10.0,83.0,12.0,65.0,2.0,6.0,9.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0,7.0,17.0,0.0,2.0,0.0,,,96429.0,19107.0,21512.0,65.0,44.0,21.0,44.0,44.0,0.0,44.0,0.0,8.0,20.0,0.0,16.0,0.0,0.0,0.0,0.0,59.0,54.0,5.0,71.0,16.0,55.0,46.0,6.0,40.0,58.0,0.88,0.0,0.03,0.03,,,,,,,,,,,,,,,,,
Lattimore town,45,Cleveland,3737040.0,652.0,636.0,1.03,30.0,22.0,32.0,9.0,143.0,219.0,29.0,49.0,34.0,46.0,31.0,8.0,635.0,10.0,0.0,7.0,0.0,0.0,0.0,639.0,13.0,416.0,35.0,166.0,157.0,43.0,15.0,0.0,0.0,416.0,35.0,323.0,58.0,133.0,11.0,0.0,7.0,11.0,7.0,6.0,5.0,4.0,8.0,15.0,26.0,11.0,16.0,3.0,3.0,0.0,54792.0,54792.0,66250.0,34167.0,15343.0,133.0,99.0,34.0,99.0,96.0,3.0,99.0,3.0,12.0,19.0,33.0,29.0,3.0,0.0,0.0,0.0,93.0,5.0,88.0,372.0,45.0,327.0,85.0,9.0,76.0,59.0,0.63,,,,,,,,,,,,,,,,,,,,
Laurel Hill CDP,165,Scotland,3737120.0,1117.0,465.9,2.4,78.0,50.0,51.0,49.0,207.0,120.0,113.0,164.0,148.0,80.0,57.0,0.0,740.0,264.0,113.0,0.0,0.0,0.0,0.0,1090.0,27.0,682.0,79.0,292.0,194.0,105.0,12.0,0.0,0.0,682.0,79.0,486.0,117.0,436.0,43.0,88.0,60.0,26.0,19.0,0.0,56.0,11.0,0.0,66.0,26.0,41.0,0.0,0.0,0.0,0.0,25132.0,25132.0,37586.0,16818.0,13914.0,436.0,326.0,110.0,326.0,251.0,75.0,326.0,30.0,21.0,214.0,51.0,10.0,0.0,0.0,0.0,0.0,228.0,106.0,122.0,752.0,192.0,560.0,137.0,33.0,104.0,,0.73,0.0,7.98,7.98,,,,,,,,,,,,,,,,,
Laurel Park town,89,Henderson,3737160.0,2533.0,904.3,2.8,13.0,108.0,102.0,53.0,109.0,180.0,206.0,285.0,429.0,511.0,370.0,167.0,2463.0,46.0,0.0,15.0,0.0,0.0,9.0,2418.0,115.0,2148.0,71.0,272.0,588.0,717.0,354.0,108.0,38.0,2148.0,71.0,860.0,1217.0,1142.0,36.0,44.0,35.0,33.0,34.0,84.0,30.0,36.0,27.0,124.0,124.0,163.0,116.0,126.0,34.0,96.0,73916.0,73916.0,76094.0,34712.0,43314.0,1142.0,969.0,173.0,969.0,931.0,38.0,969.0,0.0,15.0,17.0,61.0,441.0,316.0,115.0,4.0,0.0,269.0,6.0,263.0,1187.0,53.0,1134.0,960.0,60.0,900.0,75.0,0.12,0.5,1.13,1.63,,,,,,,,,,,,,,,,,
Laurinburg city,165,Scotland,3737220.0,15118.0,1204.9,12.55,1009.0,1137.0,837.0,649.0,1454.0,1707.0,1778.0,1735.0,1973.0,1488.0,969.0,382.0,5208.0,7780.0,1166.0,211.0,0.0,310.0,443.0,14532.0,586.0,10032.0,1595.0,3317.0,3136.0,1193.0,580.0,113.0,98.0,10032.0,1595.0,6453.0,1984.0,5849.0,931.0,576.0,600.0,384.0,450.0,319.0,199.0,159.0,255.0,296.0,469.0,538.0,273.0,158.0,110.0,132.0,29787.0,29787.0,54000.0,19197.0,22154.0,5849.0,2608.0,3241.0,2608.0,1437.0,1171.0,2608.0,109.0,226.0,883.0,675.0,636.0,79.0,0.0,0.0,0.0,3572.0,2074.0,1498.0,7961.0,2705.0,5256.0,2628.0,423.0,2205.0,85.0,0.89,0.27,6.59,6.86,,,,,,,,,,,,,,,,,
Lawndale town,45,Cleveland,3737260.0,711.0,881.5,0.81,18.0,10.0,44.0,39.0,84.0,99.0,69.0,120.0,137.0,57.0,21.0,13.0,647.0,55.0,0.0,0.0,0.0,0.0,9.0,709.0,2.0,516.0,137.0,197.0,126.0,47.0,9.0,0.0,0.0,516.0,137.0,323.0,56.0,258.0,31.0,22.0,33.0,20.0,17.0,17.0,7.0,0.0,16.0,10.0,26.0,27.0,11.0,3.0,16.0,2.0,31071.0,31071.0,42500.0,21250.0,20636.0,258.0,176.0,82.0,176.0,151.0,25.0,176.0,16.0,44.0,62.0,46.0,6.0,2.0,0.0,0.0,0.0,107.0,42.0,65.0,509.0,103.0,406.0,91.0,6.0,85.0,55.0,0.62,0.0,13.21,13.21,,,,,,,,,,,,,,,,,
Leggett town,65,Edgecombe,3737640.0,43.0,61.5,0.7,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,4.0,19.0,5.0,0.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,39.0,8.0,24.0,7.0,0.0,0.0,0.0,0.0,39.0,8.0,31.0,0.0,20.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40417.0,40417.0,29375.0,,42365.0,20.0,16.0,4.0,16.0,12.0,4.0,16.0,0.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,15.0,4.0,11.0,24.0,0.0,24.0,52.0,0.7,0.64,10.11,10.75,,,,,,,,,,,,,,,,,
Leland town,19,Brunswick,3737680.0,21903.0,1098.4,19.94,1323.0,911.0,1548.0,563.0,986.0,2891.0,2484.0,1871.0,3269.0,4306.0,1488.0,263.0,18709.0,1480.0,198.0,220.0,0.0,208.0,1088.0,20762.0,1141.0,16572.0,811.0,4391.0,5172.0,4090.0,1637.0,269.0,202.0,16572.0,811.0,9563.0,6198.0,9125.0,285.0,98.0,335.0,244.0,308.0,431.0,157.0,373.0,320.0,1154.0,1024.0,1672.0,1105.0,735.0,531.0,353.0,73125.0,73125.0,78483.0,55464.0,36348.0,9125.0,7378.0,1747.0,7378.0,6604.0,774.0,7378.0,90.0,53.0,332.0,776.0,3354.0,2232.0,471.0,70.0,0.0,4345.0,278.0,4067.0,11501.0,778.0,10723.0,6057.0,180.0,5877.0,76.0,0.4,1.94,17.76,19.7,13.0,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,250000.0,250000.0,Boiling Springs Lakes,Brunswick,
Lenoir city,27,Caldwell,3737760.0,17909.0,860.0,20.83,1150.0,906.0,1035.0,751.0,1765.0,2039.0,1687.0,2667.0,2480.0,1987.0,912.0,530.0,13363.0,2283.0,90.0,59.0,0.0,1697.0,417.0,15790.0,2119.0,12302.0,1994.0,3988.0,4152.0,1706.0,351.0,66.0,45.0,12302.0,1994.0,8140.0,2168.0,7253.0,605.0,577.0,544.0,453.0,648.0,512.0,355.0,516.0,285.0,517.0,612.0,509.0,446.0,370.0,180.0,124.0,39116.0,39116.0,51692.0,24199.0,22123.0,7253.0,4334.0,2919.0,4334.0,3762.0,572.0,4334.0,143.0,485.0,1305.0,927.0,1333.0,118.0,23.0,0.0,0.0,3753.0,1122.0,2631.0,10402.0,1650.0,8752.0,3229.0,439.0,2790.0,68.0,0.7,1.69,11.28,12.97,,,,,,,,,,,,,,,,,
Lewiston Woodville town,15,Bertie,3738030.0,409.0,209.1,1.96,19.0,34.0,33.0,37.0,7.0,46.0,73.0,34.0,44.0,34.0,45.0,3.0,114.0,265.0,0.0,0.0,0.0,0.0,30.0,403.0,6.0,279.0,75.0,62.0,100.0,30.0,12.0,0.0,0.0,279.0,75.0,162.0,42.0,182.0,3.0,9.0,21.0,20.0,18.0,0.0,39.0,2.0,5.0,0.0,8.0,3.0,21.0,29.0,0.0,4.0,36613.0,36613.0,,35804.0,31501.0,182.0,112.0,70.0,112.0,35.0,77.0,112.0,12.0,21.0,47.0,15.0,17.0,0.0,0.0,0.0,0.0,123.0,30.0,93.0,204.0,12.0,192.0,82.0,18.0,64.0,46.0,0.81,1.18,4.36,5.54,,,,,,,,,,,,,,,,,
Lewisville town,67,Forsyth,3738040.0,14030.0,970.7,14.45,794.0,1196.0,1137.0,517.0,911.0,1383.0,2149.0,1699.0,1790.0,1500.0,717.0,237.0,11701.0,1941.0,84.0,60.0,0.0,27.0,217.0,13521.0,509.0,9475.0,392.0,2037.0,2923.0,2932.0,791.0,173.0,227.0,9475.0,392.0,4960.0,4123.0,5086.0,229.0,149.0,107.0,398.0,221.0,112.0,98.0,138.0,138.0,460.0,376.0,679.0,676.0,469.0,439.0,397.0,81275.0,81275.0,88488.0,41471.0,38459.0,5086.0,4356.0,730.0,4356.0,3855.0,501.0,4356.0,37.0,0.0,138.0,761.0,2279.0,780.0,51.0,238.0,72.0,3618.0,642.0,2976.0,7932.0,911.0,7021.0,2454.0,159.0,2295.0,75.0,0.11,0.18,1.82,2.0,18.0,Thomas Drake Ct Project,"The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.",Town of Kernersville,Local Government,Infrastructure,5/20/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,10/6/22,250000.0,250000.0,Kernersville,Forsyth,
Lexington city,57,Davidson,3738060.0,18970.0,1055.2,17.98,1711.0,961.0,1144.0,576.0,1795.0,3033.0,2176.0,2292.0,2240.0,1785.0,902.0,355.0,10567.0,5950.0,105.0,508.0,4.0,710.0,1126.0,15708.0,3262.0,12783.0,2784.0,4174.0,4017.0,1123.0,379.0,108.0,198.0,12783.0,2784.0,8191.0,1808.0,7654.0,882.0,550.0,599.0,869.0,868.0,650.0,454.0,256.0,247.0,570.0,775.0,461.0,172.0,161.0,61.0,79.0,30366.0,30366.0,50575.0,25840.0,17465.0,7654.0,3071.0,4583.0,3071.0,1965.0,1106.0,3071.0,101.0,306.0,1053.0,684.0,805.0,82.0,29.0,0.0,11.0,4304.0,1586.0,2718.0,10864.0,2567.0,8297.0,2867.0,366.0,2501.0,65.0,0.75,0.7,7.67,8.37,,,,,,,,,,,,,,,,,
Liberty town,151,Randolph,3738100.0,2657.0,847.9,3.13,167.0,182.0,177.0,139.0,205.0,303.0,302.0,250.0,398.0,316.0,113.0,105.0,1465.0,563.0,18.0,17.0,0.0,327.0,267.0,2080.0,577.0,1787.0,443.0,609.0,506.0,176.0,45.0,8.0,0.0,1787.0,443.0,1115.0,229.0,1069.0,109.0,124.0,69.0,51.0,45.0,94.0,29.0,46.0,52.0,90.0,91.0,112.0,39.0,41.0,77.0,0.0,43018.0,43018.0,55926.0,27750.0,21708.0,1069.0,532.0,537.0,532.0,419.0,113.0,532.0,26.0,48.0,106.0,218.0,134.0,0.0,0.0,0.0,0.0,665.0,182.0,483.0,1458.0,299.0,1159.0,534.0,81.0,453.0,65.0,0.87,0.0,1.77,1.77,,,,,,,,,,,,,,,,,
Light Oak CDP,45,Cleveland,3738170.0,873.0,607.3,1.44,0.0,33.0,33.0,0.0,26.0,138.0,102.0,315.0,32.0,109.0,40.0,45.0,32.0,841.0,0.0,0.0,0.0,0.0,0.0,873.0,0.0,781.0,387.0,378.0,8.0,8.0,0.0,0.0,0.0,781.0,387.0,386.0,8.0,282.0,85.0,0.0,45.0,0.0,0.0,0.0,17.0,0.0,102.0,8.0,0.0,0.0,25.0,0.0,0.0,0.0,,,,,12789.0,282.0,135.0,147.0,135.0,16.0,119.0,135.0,0.0,0.0,111.0,8.0,16.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,613.0,224.0,389.0,194.0,180.0,14.0,5.0,0.59,0.08,0.27,0.35,,,,,,,,,,,,,,,,,
