Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino:,Hispanic or Latino,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,Per Capita Income (In 2020 Inflation Adjusted Dollars),Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town,County,Place ID
Kenly town,"101, 195","Johnston, Wilson",3735540.0,2385.0,1367.7,1.74,272.0,147.0,225.0,190.0,69.0,294.0,276.0,345.0,332.0,117.0,94.0,24.0,1302.0,800.0,0.0,0.0,0.0,63.0,220.0,2054.0,331.0,1482.0,261.0,595.0,468.0,98.0,55.0,0.0,5.0,1482.0,261.0,1063.0,158.0,834.0,120.0,62.0,121.0,54.0,44.0,29.0,66.0,26.0,13.0,20.0,165.0,69.0,33.0,0.0,12.0,0.0,32833.0,32833.0,66889.0,18125.0,16172.0,834.0,400.0,434.0,400.0,242.0,158.0,400.0,13.0,53.0,119.0,84.0,127.0,4.0,0.0,0.0,0.0,820.0,367.0,453.0,1316.0,344.0,972.0,235.0,59.0,176.0,,0.73,0.68,7.02,7.7,,,,,,,,,,,,,,,,,
Kernersville town,67,Forsyth,3735600.0,24876.0,1390.5,17.89,1542.0,1286.0,1362.0,856.0,2435.0,3384.0,3054.0,3623.0,3068.0,2687.0,1083.0,496.0,19096.0,3699.0,205.0,432.0,21.0,716.0,707.0,22063.0,2813.0,17395.0,1722.0,4247.0,5867.0,3778.0,1265.0,280.0,236.0,17395.0,1722.0,10114.0,5559.0,10731.0,651.0,657.0,425.0,603.0,450.0,576.0,430.0,676.0,305.0,806.0,1170.0,1330.0,767.0,576.0,793.0,516.0,56991.0,56991.0,88201.0,39152.0,33590.0,10731.0,5564.0,5167.0,5564.0,4702.0,862.0,5564.0,123.0,84.0,331.0,1116.0,2896.0,923.0,64.0,18.0,9.0,5036.0,910.0,4126.0,15528.0,1534.0,13994.0,4170.0,472.0,3698.0,,0.41,0.45,4.83,5.27,18.0,Thomas Drake Ct Project,"The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.",Town of Kernersville,Local Government,Infrastructure,5/20/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,10/6/22,250000.0,250000.0,Kernersville,Forsyth,
Kill Devil Hills town,55,Dare,3735720.0,7249.0,1290.3,5.62,265.0,281.0,330.0,176.0,781.0,474.0,1108.0,1236.0,1469.0,668.0,359.0,102.0,6558.0,237.0,0.0,91.0,0.0,162.0,201.0,6519.0,730.0,5416.0,312.0,1242.0,1924.0,1332.0,503.0,77.0,26.0,5416.0,312.0,3166.0,1938.0,3287.0,96.0,122.0,124.0,167.0,47.0,130.0,193.0,191.0,166.0,440.0,422.0,387.0,330.0,245.0,116.0,111.0,59389.0,59389.0,68125.0,41766.0,33657.0,3287.0,2318.0,969.0,2318.0,2312.0,6.0,2318.0,82.0,39.0,0.0,84.0,1455.0,566.0,43.0,36.0,13.0,974.0,187.0,787.0,5068.0,417.0,4651.0,1129.0,51.0,1078.0,7.0,0.23,34.46,64.69,99.16,21.0,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,10/6/22,250000.0,250000.0,County,Dare,
King city,"169, 67","Stokes, Forsyth",3735760.0,6980.0,1154.6,6.05,453.0,287.0,477.0,164.0,704.0,683.0,673.0,943.0,1059.0,777.0,539.0,221.0,6676.0,269.0,0.0,10.0,0.0,7.0,18.0,6764.0,216.0,4895.0,527.0,1728.0,1433.0,869.0,319.0,13.0,6.0,4895.0,527.0,3161.0,1207.0,2907.0,128.0,147.0,204.0,86.0,23.0,287.0,107.0,138.0,68.0,123.0,365.0,497.0,361.0,131.0,148.0,94.0,66691.0,66691.0,80282.0,30803.0,34292.0,2907.0,1952.0,955.0,1952.0,1845.0,107.0,1952.0,0.0,0.0,127.0,557.0,1029.0,239.0,0.0,0.0,0.0,1381.0,43.0,1338.0,4040.0,146.0,3894.0,1314.0,137.0,1177.0,,0.38,0.35,2.18,2.52,,,,,,,,,,,,,,,,,
Kings Grant CDP,129,New Hanover,3735870.0,8596.0,1893.5,4.54,436.0,232.0,286.0,287.0,1204.0,1408.0,1059.0,1114.0,1048.0,1039.0,373.0,110.0,7332.0,1048.0,25.0,122.0,0.0,10.0,59.0,8249.0,347.0,6151.0,1171.0,1677.0,1622.0,1148.0,414.0,45.0,74.0,6151.0,1171.0,3299.0,1681.0,3916.0,160.0,57.0,100.0,828.0,187.0,152.0,192.0,262.0,102.0,241.0,370.0,584.0,371.0,209.0,54.0,47.0,46351.0,46351.0,72083.0,21954.0,27888.0,3916.0,2503.0,1413.0,2503.0,2076.0,427.0,2503.0,104.0,82.0,93.0,399.0,1736.0,33.0,0.0,0.0,56.0,1239.0,154.0,1085.0,5833.0,643.0,5190.0,1522.0,63.0,1459.0,61.0,0.43,1.88,13.84,15.72,,,,,,,,,,,,,,,,,
Kings Mountain city,"45, 71","Cleveland, Gaston",3735880.0,10885.0,810.8,13.42,693.0,881.0,678.0,352.0,695.0,1136.0,1203.0,1313.0,1670.0,1293.0,493.0,478.0,7840.0,2532.0,0.0,150.0,0.0,281.0,82.0,10467.0,418.0,7586.0,1200.0,3082.0,2005.0,899.0,336.0,64.0,0.0,7586.0,1200.0,5087.0,1299.0,4360.0,580.0,286.0,410.0,373.0,263.0,140.0,188.0,171.0,137.0,296.0,478.0,515.0,232.0,118.0,97.0,76.0,38936.0,38936.0,59167.0,22939.0,22178.0,4360.0,2736.0,1624.0,2736.0,2406.0,330.0,2736.0,128.0,184.0,587.0,543.0,1143.0,151.0,0.0,0.0,0.0,2552.0,1174.0,1378.0,6008.0,1311.0,4697.0,2120.0,313.0,1807.0,,0.67,0.35,2.79,3.14,,,,,,,,,,,,,,,,,
Kingstown town,45,Cleveland,3735890.0,581.0,330.0,1.76,20.0,15.0,27.0,17.0,47.0,31.0,69.0,66.0,136.0,120.0,22.0,11.0,48.0,525.0,0.0,0.0,0.0,0.0,8.0,575.0,6.0,455.0,96.0,230.0,94.0,23.0,12.0,0.0,0.0,455.0,96.0,324.0,35.0,242.0,29.0,39.0,21.0,16.0,13.0,9.0,10.0,11.0,17.0,13.0,28.0,20.0,12.0,0.0,0.0,4.0,31875.0,31875.0,36875.0,27188.0,28133.0,242.0,175.0,67.0,175.0,13.0,162.0,175.0,7.0,7.0,110.0,34.0,17.0,0.0,0.0,0.0,0.0,79.0,10.0,69.0,349.0,39.0,310.0,153.0,23.0,130.0,51.0,0.63,0.0,4.87,4.87,,,,,,,,,,,,,,,,,
Kinston city,107,Lenoir,3735920.0,20173.0,1094.5,18.43,1265.0,1321.0,1111.0,1015.0,1600.0,2088.0,1846.0,2329.0,2696.0,2602.0,1373.0,927.0,5196.0,13710.0,59.0,124.0,0.0,18.0,1066.0,19678.0,495.0,13861.0,2754.0,4488.0,4309.0,1603.0,454.0,90.0,163.0,13861.0,2754.0,8797.0,2310.0,9235.0,1163.0,1283.0,516.0,703.0,713.0,599.0,489.0,554.0,269.0,676.0,790.0,484.0,484.0,158.0,193.0,161.0,32094.0,32094.0,43382.0,25159.0,26176.0,9235.0,3696.0,5539.0,3696.0,1509.0,2187.0,3696.0,119.0,655.0,1118.0,868.0,741.0,152.0,21.0,21.0,1.0,4391.0,1888.0,2503.0,10132.0,2340.0,7792.0,4807.0,1075.0,3732.0,75.0,0.79,4.66,20.66,25.32,11.0,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,250000.0,250000.0,Kinston,Lenoir,
Kittrell town,181,Vance,3736020.0,136.0,654.4,0.21,12.0,4.0,13.0,0.0,6.0,20.0,23.0,9.0,21.0,7.0,13.0,8.0,118.0,11.0,0.0,0.0,0.0,0.0,7.0,136.0,0.0,101.0,4.0,53.0,23.0,15.0,6.0,0.0,0.0,101.0,4.0,76.0,21.0,46.0,5.0,0.0,4.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,7.0,8.0,0.0,8.0,0.0,3.0,73000.0,73000.0,,,28939.0,46.0,38.0,8.0,38.0,33.0,5.0,38.0,2.0,2.0,18.0,11.0,1.0,4.0,0.0,0.0,0.0,25.0,0.0,25.0,79.0,19.0,60.0,28.0,5.0,23.0,58.0,0.8,,,,,,,,,,,,,,,,,,,,
Kitty Hawk town,55,Dare,3736060.0,3534.0,435.8,8.11,125.0,231.0,240.0,84.0,117.0,329.0,463.0,484.0,676.0,496.0,228.0,61.0,3336.0,41.0,0.0,0.0,0.0,75.0,82.0,3430.0,104.0,2737.0,95.0,678.0,770.0,739.0,334.0,112.0,9.0,2737.0,95.0,1448.0,1194.0,1572.0,10.0,30.0,37.0,28.0,35.0,169.0,125.0,93.0,37.0,75.0,150.0,288.0,114.0,107.0,77.0,197.0,74797.0,74797.0,79179.0,37262.0,43706.0,1572.0,1292.0,280.0,1292.0,1278.0,14.0,1292.0,0.0,0.0,45.0,54.0,267.0,694.0,210.0,22.0,0.0,680.0,0.0,680.0,2069.0,68.0,2001.0,785.0,0.0,785.0,73.0,0.15,19.43,79.91,99.35,21.0,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,10/6/22,250000.0,250000.0,County,Dare,
